abed                 2378
played               1056, 1057, 1098, 2986, 2990, 6855, 6954
players              76, 6653
playfully            4697
playin               1186, 1595, 4461, 6199, 6217
playing              1109, 1120, 1177, 1469, 1600, 2365, 2677, 2678, 3329, 6502, 6909, 7082, 7088, 7107
plays                1419
playtime             1478
plea                 5985
pleaded              5289, 5348
pleading             4982, 6107, 6834
pleasant             1662, 1767, 2144, 2673, 3089, 7000
pleasanter           2748, 3281
pleasantly           2713, 3068
please               123, 140, 701, 1248, 1494, 1508, 1867, 1969, 2574, 3434, 3443, 3573, 3641, 3987, 3997, 4007, 4033, 4134, 4149, 4149, 4274, 4592, 5763, 6112, 6115, 6134, 6320, 6321, 6349, 6547, 6713, 6714, 6747, 6783, 6907, 7378, 7514, 7811, 7814
pleased              126, 6037
pleases              6123
pleasin              379
pleasure             697, 3808
plenty               265
plucking             1988, 4137
plumped              1249
plumpness            1983
plunge               7311
plunging             2496
pocket               3183, 5322, 5354, 5396
pockets              7253
point                463, 2942, 5143, 6903
pointed              265, 6268
pointing             964, 3295
points               5294
poised               965
poked                6290
polished             3636
polite               2322, 2389, 5425
politely             1866, 3025, 4500, 6677
politeness           2135
polly                49, 90, 92, 93, 98, 106, 128, 130, 135, 142, 152, 167, 180, 183, 211, 227, 231, 237, 248, 289, 294, 328, 331, 336, 342, 361, 364, 369, 400, 411, 426, 430, 443, 459, 556, 563, 581, 597, 611, 617, 631, 656, 683, 692, 692, 698, 712, 714, 726, 749, 749, 757, 763, 769, 797, 928, 940, 1122, 1141, 1145, 1150, 1153, 1168, 1171, 1180, 1209, 1212, 1212, 1222, 1226, 1264, 1272, 1279, 1282, 1287, 1310, 1312, 1315, 1329, 1332, 1336, 1340, 1345, 1355, 1360, 1365, 1382, 1395, 1400, 1403, 1411, 1415, 1421, 1423, 1448, 1460, 1460, 1467, 1473, 1475, 1485, 1489, 1494, 1497, 1508, 1511, 1535, 1540, 1554, 1561, 1633, 1650, 1671, 1671, 1687, 1691, 1693, 1697, 1698, 1710, 1718, 1719, 1724, 1724, 1726, 1729, 1736, 1743, 1747, 1748, 1819, 1823, 1826, 1866, 1879, 1906, 2257, 2330, 2436, 2439, 2459, 2464, 2472, 2476, 2481, 2491, 2501, 2503, 2509, 2513, 2521, 2527, 2536, 2565, 2567, 2567, 2570, 2576, 2577, 2585, 2587, 2589, 2592, 2603, 2624, 2625, 2636, 2643, 2654, 2657, 2658, 2663, 2671, 2721, 2766, 2769, 2772, 2780, 2809, 2815, 2828, 2832, 2838, 2840, 2848, 2858, 2861, 2862, 2873, 2901, 2962, 2965, 2977, 2988, 2993, 2996, 2998, 3002, 3003, 3197, 3199, 3207, 3350, 3426, 3427, 3434, 3443, 3458, 3468, 3484, 3486, 3491, 3497, 3507, 3513, 3518, 3525, 3543, 3546, 3553, 3755, 3757, 3757, 3759, 3763, 3782, 3795, 3828, 3925, 3931, 3935, 3937, 3944, 3946, 3955, 3962, 3970, 3984, 3987, 3989, 3997, 4001, 4011, 4011, 4014, 4028, 4032, 4037, 4046, 4052, 4062, 4069, 4073, 4083, 4092, 4096, 4114, 4119, 4121, 4124, 4144, 4149, 4151, 4173, 4269, 4276, 4317, 4354, 4390, 4397, 4403, 4420, 4433, 4439, 4441, 4463, 4494, 4503, 4509, 4512, 4520, 4530, 4533, 4538, 4539, 4617, 4619, 4658, 4717, 4727, 4759, 4765, 4776, 4834, 4849, 4856, 4868, 4872, 4874, 4882, 4893, 4898, 4918, 4923, 4949, 4987, 4998, 5050, 5068, 5072, 5084, 5096, 5127, 5131, 5132, 5166, 5180, 5184, 5387, 5595, 5654, 5669, 5670, 5685, 5692, 5704, 5713, 5714, 5722, 5729, 5740, 5743, 5757, 5795, 5811, 5827, 5829, 5876, 5889, 5898, 5904, 5935, 5941, 5974, 5986, 6011, 6017, 6031, 6044, 6053, 6058, 6073, 6076, 6088, 6090, 6097, 6110, 6115, 6120, 6133, 6139, 6203, 6223, 6230, 6239, 6271, 6273, 6277, 6295, 6298, 6304, 6304, 6304, 6309, 6310, 6320, 6332, 6345, 6383, 6519, 6528, 6535, 6543, 6552, 6561, 6565, 6571, 6580, 6590, 6597, 6611, 6618, 6623, 6628, 6634, 6645, 6646, 6649, 6657, 6663, 6675, 6677, 6693, 6719, 6724, 6727, 6734, 6748, 6757, 6772, 6786, 6795, 6812, 6815, 6822, 6826, 6833, 6887, 6895, 6900, 6917, 6927, 6941, 6948, 6956, 6981, 6989, 6995, 7008, 7015, 7017, 7021, 7039, 7044, 7046, 7050, 7068, 7069, 7071, 7075, 7078, 7095, 7107, 7107, 7108, 7111, 7153, 7156, 7277, 7282, 7296, 7319, 7330, 7338, 7340, 7352, 7362, 7372, 7391, 7393, 7401, 7410, 7422, 7422, 7425, 7428, 7430, 7430, 7445, 7460
pollyanna            1, 9, 19, 30, 51, 55, 56, 80, 85, 143, 202, 230, 251, 396, 398, 416, 431, 453, 475, 479, 482, 491, 496, 511, 512, 518, 541, 545, 573, 585, 599, 626, 641, 677, 688, 689, 700, 704, 720, 731, 733, 737, 739, 753, 757, 759, 771, 784, 787, 790, 794, 804, 817, 825, 833, 839, 849, 857, 864, 865, 874, 874, 886, 890, 895, 896, 897, 904, 912, 916, 977, 978, 990, 1008, 1012, 1015, 1017, 1019, 1042, 1045, 1056, 1061, 1077, 1083, 1092, 1094, 1097, 1106, 1118, 1126, 1130, 1139, 1143, 1147, 1155, 1161, 1194, 1200, 1205, 1210, 1215, 1229, 1233, 1245, 1249, 1255, 1260, 1270, 1272, 1293, 1299, 1303, 1306, 1313, 1322, 1326, 1333, 1337, 1345, 1349, 1357, 1365, 1374, 1383, 1386, 1396, 1398, 1427, 1434, 1438, 1458, 1477, 1483, 1498, 1500, 1505, 1513, 1515, 1523, 1533, 1539, 1544, 1545, 1557, 1561, 1573, 1579, 1595, 1598, 1609, 1611, 1623, 1646, 1649, 1652, 1655, 1658, 1660, 1682, 1687, 1689, 1701, 1703, 1706, 1712, 1716, 1726, 1726, 1733, 1737, 1746, 1747, 1756, 1758, 1759, 1767, 1770, 1776, 1787, 1791, 1798, 1801, 1807, 1813, 1819, 1825, 1829, 1853, 1860, 1866, 1870, 1875, 1877, 1885, 1892, 1898, 1902, 1905, 1918, 1933, 1943, 1951, 1960, 1974, 1981, 1988, 1997, 2005, 2015, 2022, 2035, 2082, 2088, 2093, 2094, 2105, 2131, 2142, 2144, 2149, 2158, 2160, 2163, 2165, 2169, 2185, 2193, 2198, 2206, 2211, 2216, 2221, 2224, 2232, 2236, 2241, 2247, 2254, 2258, 2265, 2279, 2285, 2297, 2302, 2308, 2320, 2348, 2355, 2369, 2383, 2391, 2400, 2408, 2413, 2422, 2427, 2431, 2435, 2442, 2451, 2453, 2463, 2466, 2469, 2479, 2481, 2485, 2491, 2496, 2499, 2511, 2529, 2538, 2546, 2548, 2551, 2556, 2560, 2564, 2572, 2574, 2580, 2584, 2587, 2589, 2599, 2599, 2600, 2612, 2616, 2618, 2625, 2628, 2631, 2638, 2644, 2647, 2654, 2654, 2655, 2665, 2669, 2673, 2674, 2675, 2677, 2679, 2681, 2682, 2684, 2687, 2692, 2698, 2707, 2708, 2713, 2727, 2737, 2744, 2763, 2766, 2792, 2800, 2806, 2818, 2822, 2832, 2843, 2858, 2867, 2871, 2877, 2887, 2897, 2910, 2918, 2931, 2936, 2942, 2957, 2974, 2983, 2990, 2996, 2999, 3006, 3015, 3018, 3020, 3025, 3034, 3043, 3052, 3060, 3062, 3070, 3084, 3089, 3099, 3108, 3112, 3120, 3126, 3132, 3136, 3142, 3148, 3152, 3155, 3158, 3162, 3163, 3171, 3216, 3220, 3222, 3236, 3241, 3244, 3251, 3255, 3261, 3269, 3273, 3287, 3301, 3306, 3308, 3315, 3322, 3326, 3331, 3341, 3349, 3355, 3356, 3367, 3371, 3373, 3376, 3385, 3389, 3400, 3424, 3431, 3438, 3441, 3449, 3453, 3459, 3462, 3465, 3474, 3476, 3501, 3505, 3507, 3511, 3519, 3521, 3528, 3543, 3548, 3553, 3560, 3565, 3574, 3580, 3586, 3606, 3628, 3632, 3638, 3644, 3648, 3650, 3658, 3664, 3675, 3689, 3699, 3706, 3731, 3744, 3766, 3772, 3779, 3786, 3797, 3803, 3808, 3813, 3819, 3828, 3835, 3841, 3863, 3866, 3871, 3875, 3879, 3889, 3896, 3902, 3907, 3912, 3920, 3922, 3933, 3941, 3948, 3953, 3961, 3968, 3976, 3984, 3987, 3992, 3995, 4001, 4002, 4004, 4017, 4020, 4028, 4028, 4031, 4035, 4042, 4049, 4059, 4085, 4088, 4088, 4090, 4096, 4100, 4103, 4108, 4113, 4114, 4118, 4125, 4136, 4139, 4142, 4155, 4158, 4163, 4173, 4181, 4186, 4197, 4205, 4207, 4214, 4221, 4229, 4240, 4242, 4255, 4263, 4267, 4281, 4292, 4295, 4301, 4315, 4322, 4337, 4344, 4352, 4359, 4363, 4380, 4385, 4388, 4394, 4395, 4416, 4424, 4430, 4442, 4444, 4451, 4460, 4465, 4472, 4477, 4483, 4483, 4484, 4488, 4494, 4505, 4506, 4510, 4515, 4520, 4524, 4526, 4532, 4535, 4543, 4566, 4570, 4590, 4592, 4602, 4613, 4624, 4629, 4635, 4648, 4653, 4660, 4667, 4671, 4671, 4673, 4677, 4684, 4687, 4701, 4709, 4715, 4719, 4725, 4733, 4737, 4742, 4745, 4750, 4757, 4767, 4772, 4774, 4785, 4789, 4790, 4803, 4809, 4815, 4817, 4821, 4831, 4840, 4855, 4865, 4880, 4882, 4888, 4891, 4900, 4909, 4917, 4927, 4934, 4940, 4947, 4949, 4955, 4961, 4966, 4983, 5002, 5007, 5017, 5031, 5036, 5044, 5053, 5061, 5066, 5076, 5084, 5085, 5093, 5112, 5120, 5124, 5129, 5135, 5152, 5155, 5163, 5172, 5174, 5179, 5189, 5191, 5196, 5208, 5214, 5215, 5231, 5238, 5244, 5256, 5260, 5264, 5265, 5268, 5269, 5271, 5273, 5281, 5357, 5368, 5375, 5384, 5392, 5395, 5399, 5409, 5413, 5440, 5458, 5464, 5472, 5476, 5477, 5477, 5482, 5547, 5557, 5559, 5569, 5571, 5579, 5593, 5599, 5602, 5616, 5626, 5633, 5638, 5646, 5652, 5710, 5723, 5735, 5752, 5762, 5766, 5778, 5779, 5781, 5789, 5801, 5813, 5820, 5822, 5895, 5939, 5967, 5985, 5992, 5994, 6004, 6004, 6007, 6009, 6013, 6018, 6036, 6037, 6044, 6047, 6051, 6066, 6080, 6086, 6090, 6094, 6100, 6106, 6112, 6124, 6132, 6153, 6160, 6223, 6241, 6241, 6250, 6262, 6270, 6276, 6282, 6290, 6293, 6296, 6303, 6311, 6316, 6329, 6336, 6351, 6367, 6371, 6396, 6428, 6476, 6498, 6502, 6511, 6516, 6547, 6558, 6571, 6574, 6578, 6587, 6592, 6598, 6599, 6604, 6623, 6637, 6641, 6666, 6703, 6713, 6732, 6753, 6758, 6762, 6786, 6789, 6793, 6801, 6805, 6807, 6831, 6835, 6903, 6911, 6934, 6944, 6959, 7017, 7018, 7032, 7036, 7059, 7064, 7066, 7081, 7092, 7104, 7105, 7115, 7117, 7120, 7122, 7132, 7136, 7138, 7140, 7203, 7214, 7278, 7289, 7293, 7328, 7333, 7353, 7384, 7389, 7397, 7405, 7411, 7414, 7416, 7419, 7433, 7435, 7443, 7473, 7479, 7481
poor                 277, 559, 813, 946, 954, 1025, 1376, 1821, 1830, 2187, 2194, 2631, 2640, 5491, 5568, 6246, 6412, 6412, 6430, 6458, 6670, 6768, 6878, 7028, 7036, 7109, 7110, 7112
poorly               2324
porch                1554, 3622, 3876, 4344, 6523
poring               5492
porte                1633, 3186, 3187, 3231, 3563, 3805
porter               1, 11, 32, 7479
pose                 1984, 3421, 5844, 6188, 6477, 7288
posers               3896
posies               368, 6130
position             2339, 3292, 5046, 6005, 6648
possessed            7653
possession           7532
possibility          7696
possible             357, 765, 943, 2667, 3277
possibly             483
posted               7590, 7599, 7603, 7621, 7763
posthaste            5110
posting              13
pounds               1216
pouring              406
pouted               4701
powder               6361
power                2865
powerless            2659, 2667
powers               5517
practically          187, 7505
practised            1737
practising           2326, 2410
praise               307
prattled             4042
prayed               5291, 5348, 5348
prayer               5303, 5309, 5332
prayers              1612
precipitately        1276, 6494
precipitation        1697
precisely            925
predicted            1834
prefer               794, 3508, 5241
preferred            220, 224, 246, 3391, 5299
preliminary          4667
prepare              164, 7643, 7643
prepared             5124
preparing            6044
preposterous         2093
prescribe            3622
prescribed           1737, 4160, 6537, 7136
prescription         4161
presence             2807, 4476, 4742, 5199, 5200, 5226, 5238, 5395, 5574, 5580, 5986, 6486, 6492, 6545, 6583, 6592, 6594, 6595, 6600, 6609
present              2540, 3001, 3456, 5706, 6253
preserve             7545
president            1388
pressure             6598
presume              712, 730, 1436, 6840
pretence             5332
pretend              2953
prettier             3999
prettiest            7025
pretty               277, 520, 520, 552, 594, 609, 657, 1110, 1569, 1570, 1795, 1849, 1939, 1941, 1953, 1976, 2049, 2506, 2519, 2520, 2626, 2985, 3964, 3990, 3996, 4004, 4042, 4047, 4053, 4054, 4061, 4064, 4078, 4155, 4201, 4230, 4248, 4460, 4530, 4550, 4559, 4770, 5112, 5398, 5568, 5826, 7035, 7464
prevent              7553
prevented            2212
previous             7489
pricked              3321
prickly              376
pride                354, 7181, 7183, 7187, 7189, 7251, 7292, 7347
prided               94
principal            1406, 1536, 7768
prinkin              1957
print                7492
printed              7504, 7826
prism                4580, 4638, 4647, 6418, 6648
prisms               66, 4470, 4625, 4941, 4972, 5205, 5802, 5817, 6708
private              1829
privilege            1825
pro                  2444, 2448, 2453
probably             738, 2503, 2887, 2889, 3204, 4358, 5841, 6550, 6598
problem              775, 7710
procedure            1985
proceeded            1817
proceeding           2436
process              513
processing           7618
proclaim             6504
procure              1455, 7143
prodigiously         1984
produce              7838
produced             24, 833, 7487, 7822
producing            504
production           7728
profession           3862
professional         7189, 7251, 7347
professor            7820
profit               2450, 7759
profitable           2432, 2450
profits              7636
progress             3632
prohibited           1743
prohibition          7803
project              1, 5, 19, 7479, 7481, 7497, 7498, 7498, 7513, 7516, 7518, 7519, 7524, 7527, 7532, 7533, 7538, 7541, 7543, 7545, 7548, 7549, 7555, 7556, 7558, 7559, 7561, 7569, 7574, 7577, 7578, 7579, 7579, 7585, 7588, 7593, 7596, 7599, 7603, 7606, 7608, 7613, 7619, 7621, 7625, 7629, 7633, 7637, 7639, 7641, 7645, 7647, 7651, 7655, 7663, 7665, 7668, 7669, 7674, 7676, 7677, 7686, 7687, 7688, 7727, 7729, 7732, 7734, 7737, 7739, 7746, 7747, 7748, 7750, 7751, 7756, 7759, 7764, 7782, 7785, 7811, 7817, 7820, 7822, 7826, 7836, 7837
prominently          7577, 7612
promise              4065, 4065, 4065, 5895, 6383
promised             1003, 1015, 1197, 1560, 2942, 6887
promoting            7516, 7557
promotion            7729
promptly             440, 1015, 1825, 4109, 5258
proofread            7675
proper               701, 1478, 1479, 2574, 3636
properly             1424, 2587, 4071
property             7529, 7681
prophesied           2555
proposed             1968, 2400, 3775
proprietary          7617
prospect             1862
protect              7498, 7516
protection           2670
protector            2664
proud                760, 7247
prove                4980
proved               1539
provide              7618, 7622, 7649, 7657, 7705, 7745, 7749
provided             1742, 7633, 7693, 7704, 7713
providing            7592, 7632, 7707, 7727
provision            7723
provisions           7723
public               7492, 7505, 7551, 7552, 7589, 7676, 7786, 7787, 7827
puckered             2983, 3376, 4985
pull                 1930, 5518
pulled               284, 1897, 1927, 2840, 4109, 4151, 4880, 5115, 5311, 5395, 5500, 6029
pulling              1215, 1256, 2268, 3980, 7211
pulse                4798
punctual             937
punctuating          264
punished             1169
punishing            1726
punishment           1728
punishments          55, 1533
punitive             7695
pure                 5257
purple               4650, 4943
purpose              412, 422, 7438, 7502, 7715
purposes             2793, 5312
purred               4059
purring              6296, 6316
pushed               947, 3016, 3018, 6427
put                  140, 201, 259, 278, 764, 1103, 1451, 1525, 1648, 3420, 3998, 4014, 4070, 4201, 5117, 5655, 6747, 7431
puts                 5878
putting              850, 1431, 5797, 5811, 6910
puzzle               4891, 6724
puzzled              3871, 3902, 6677
puzzling             6900
quaint               3619
quarrel              4428, 4872, 7184, 7186, 7192, 7196, 7200, 7201
quarrelled           4857
quarrellin           4454
quarrels             3455, 6910
quart                3597
queer                531, 863, 1094, 1097, 2137, 2215, 2237, 3207, 3548, 4412, 4415, 4438, 5037, 5741, 6679
queerest             3429
queerly              3831, 5600
queried              757, 2739
question             54, 69, 794, 1192, 1745, 3067, 4005, 4920, 5041, 5061, 5100, 5104, 5420, 5722, 6385, 6628, 6815
questioned           573, 2453, 3923
questioner           5102
questioning          2617, 6395, 6677
questions            514, 2741, 2797, 3172, 3258, 3897, 5780, 6605
quick                287, 1086, 1623, 1676, 1680, 2936, 4064, 4353, 4719, 4836, 5099, 5946, 6320, 7367
quicker              3678, 3679, 3681, 4118
quickly              2931, 3580, 3931, 5022, 5363, 5418, 5717, 5744, 7066
quiet                246, 455, 3113, 3526, 5303, 5925, 6248, 6682
quieted              6359
quieting             6361
quietly              3015, 4863, 5718
quit                 2754
quite                171, 224, 240, 473, 515, 804, 1155, 1161, 1300, 1658, 1739, 1795, 1861, 2074, 2397, 2482, 2531, 2747, 2815, 3007, 3068, 3077, 3089, 3112, 3865, 3870, 3895, 3915, 4060, 4084, 4678, 4719, 4769, 5124, 5131, 5622, 5762, 5798, 5943, 6159, 6264, 6283, 6400, 6684, 7028, 7162, 7432
quiver               3153
quivering            524, 1708
quizzical            592, 2143, 4501
rack                 800
radiant              839, 1546, 5477
radiantly            3744
radiate              5522
rag                  269
ragged               2670, 2845
rain                 2086
rainbow              4548, 4548, 4568, 4599, 4600, 4620, 5816
rainbows             5816, 6128
rained               2082
raining              4169
rainy                3961
raise                1316, 1611, 2921
raised               408, 416, 1285, 1653, 2838, 2861, 4779, 5245
raising              411, 3126
ral                  386
rallied              2864
rally                4360, 4455
ran                  893, 918, 1166, 1207, 2651, 3163, 3245, 3255, 4066, 4224, 5358, 5735, 5834, 7268
rang                 3565, 5341
range                5723
rapid                1202, 3631, 7363
rapidly              1231, 1776, 3876
rapt                 4570, 4637
rapture              7389
rapturous            1130
rapturously          749, 1718, 3971, 4395
rate                 3619, 5906, 7127
rather               1421, 1661, 1774, 1776, 2245, 2981, 3030, 3093, 3102, 3895, 4008, 4175, 4502, 4769, 4792, 5222, 5292, 5791, 5978, 6781, 7043, 7144, 7319
raving               2350
rawson               3175, 3450, 3450
reach                3316, 4111, 4585
reached              753, 903, 918, 1240, 2062, 2422, 2532, 2564, 2806, 2877, 3144, 3183, 3813, 6739, 7206, 7207
reaches              781
reaching             237, 1975, 3576, 4118, 7746
read                 183, 400, 426, 1308, 1310, 1310, 1323, 1341, 1407, 1410, 1411, 1412, 1450, 1570, 1737, 2788, 4381, 5324, 5513, 7514, 7528, 7682
readable             7740, 7788
reading              1140, 1469, 1749, 3823, 7527
ready                197, 1203, 1990, 2210, 2959, 4117, 6008, 6361, 6868
real                 361, 1150, 2777, 2811, 3176, 4245, 4548, 5519, 7035, 7199
realization          5343
realize              2289, 5779, 5781, 6253, 6254
realized             5711, 6017, 6017, 6598, 7138
realizing            4315, 6305
really               169, 981, 1223, 1247, 1519, 1893, 2143, 2388, 2397, 2553, 2553, 2555, 2567, 2611, 2889, 3012, 4474, 4529, 4532, 4599, 4626, 4700, 4711, 4833, 5182, 5969, 6464, 6471, 6492, 6698, 6803, 7061, 7075
reason               2577, 3130, 3158, 4105, 4325, 7137, 7344
reasonable           7632
reasons              6081
rebuked              5290
receipt              7650, 7660
receive              5333, 6517, 7500, 7701, 7708
received             181, 7148, 7163, 7702, 7703, 7706, 7798, 7808
receiver             3259
receiving            7700
reckon               736, 1022, 1212, 1272, 1601, 1721, 1967, 1990, 2171, 2357, 2583, 2813, 2826, 2888, 2923, 3026, 3128, 3404, 3413, 3416, 3462, 3478, 3532, 3668, 3775, 3821, 4045, 4121, 4188, 4365, 4614, 4618, 5033, 5131, 5379, 6372, 6580, 7024
reckoned             2350
reckoning            6869
recognized           4128
recognizing          6020
recoiled             4113
recollection         6012
reconsidered         7376
recovered            5705
red                  64, 421, 436, 451, 467, 498, 529, 536, 553, 708, 1290, 1379, 1512, 1544, 1753, 1953, 1994, 2527, 2815, 3959, 4110, 4545, 4609, 4650, 4966, 4976, 6058, 6091, 6708, 6829, 7338
reddening            965
redistribute         7610
redistributing       7524, 7592
redistribution       7505, 7507
reference            1910
references           7555, 7574
reflection           1993, 2045
refractory           1981
refrained            2225
refreshing           1659
refuge               676, 1188
refund               7535, 7649, 7657, 7686, 7699, 7701, 7706, 7708, 7709, 7712
refuse               5168
refused              5504, 7376
regard               3455, 3456
regarded             2733
regarding            1094
registered           7499, 7538
regret               185
regretfully          979
regular              6950
regulated            4288
regulating           3726, 4104, 7793
regulatings          4482
reins                3626, 4128, 4853, 4860, 6701
rejoice              5444, 5450, 5460, 5493, 5550, 6390
rejoiced             6388
rejoicing            5436, 5451, 5455, 5466, 7086
rejoined             151, 160, 698, 1055, 1077, 1415, 2061, 2344, 4774, 5241, 5917, 6223, 6662, 7277
relations            7152
relaxation           1541
relaxed              585, 1590, 3476, 4860, 5676, 6002
release              14
relenting            2937
relief               259, 1746, 1746, 3259, 3347, 5602, 6098
relieved             491
reluctance           1349
reluctantly          2413
remain               204, 418, 7748
remaining            7723
remarkable           6720
remarked             6609
remarks              1860, 3996
remedies             7691
remedy               1449
remember             2260, 2261, 2376, 2380, 3517, 4066, 4223, 4333, 4631, 5033, 5113, 5902, 6720, 7021, 7050
remembered           227, 528, 1374, 1646, 5245, 6011, 6383, 6671
remembering          4457, 5061, 5895
remembrance          1042, 4624, 6012
remind               4439, 6451, 6454, 6469
reminded             4327, 4367, 4370, 4945, 5193, 6766
remonstrance         5936
remonstrances        219
remonstrate          2660, 2667
remonstrated         1215, 2654, 4028
remonstrative        3941
remorseful           3356
remove               7606
removed              7556, 7574
removing             3985
renamed              7490
rence                6175
renewed              6107
rent                 6127, 6207, 6471
repeated             483, 673, 960, 2592, 3619, 3902, 4755, 4979, 5086
replace              7489
replacement          7658, 7686, 7699, 7705, 7712
replied              5599
reply                1318, 1724, 2066, 2317, 2429, 5413, 6376
report               3087, 3095, 3102, 3413, 4008
reported             7659
reports              7503
repose               94
representations      7570
reproached           3374
reproof              3342
reproved             4533
reputation           6728, 6822
reputed              6568
request              4818, 5557, 7238, 7624
require              7652
required             7643
requirements         7594, 7795, 7797, 7803
research             7504, 7675
resented             5202
reserved             5937
residents            130, 3605
resignation          5301
resisting            5516
resolute             1622
resolutely           6031, 7105
resounding           1660
respectfully         206, 6394
responded            3835
response             6394
rest                 306, 458, 551, 554, 1241, 1389, 1429, 1545, 1712, 1858, 2504, 2792, 2993, 3292, 3453, 3471, 3712, 3767, 4605, 5106, 5152, 5193, 5221, 5733, 5738, 6457, 6929, 6999
rested               3295, 6364
resting              2211, 5366, 5706, 6273
restless             3787
restlessly           2273, 2703, 2715
restraint            4990
restrictions         4, 7584
resumed              3658, 6470, 6850, 7036
retorted             1042, 1576, 1765, 1945, 2011, 2032, 2636, 2744, 2802, 2883, 3352, 3697, 3724, 5064, 5071, 5840, 5868, 6143, 6215, 6446, 7236
retreat              3685
return               5525, 7531, 7652, 7703
returned             2503, 3963, 4175, 4293, 4579, 6243
returns              7644
rev                  185, 5282, 5286, 5306, 5316, 5382, 5418, 5439, 5485, 5495, 5545
revenue              7762
revolutionize        5521
revolving            3976
reward               1728
rheumatic            2333, 2349
ribbon               3624
ribbons              657, 6152, 6910
rich                 611, 616, 751, 1361, 1362, 2195, 2203
riches               761
rid                  1828
ride                 517, 3812, 3878, 6252, 7465
ridiculous           251
rig                  4225
rigging              4139
right                265, 266, 348, 443, 469, 543, 587, 721, 785, 954, 983, 987, 1078, 1549, 1622, 1678, 1847, 1857, 2102, 2147, 2415, 2473, 2751, 2827, 2887, 2889, 2915, 2949, 3129, 3244, 3276, 3364, 3379, 3413, 3419, 3448, 3671, 3672, 4033, 4384, 4435, 4618, 4702, 4752, 4872, 5009, 5090, 5260, 5260, 5350, 5351, 5368, 5458, 5508, 5602, 5691, 5766, 6320, 6491, 6697, 6705, 7047, 7349, 7393, 7460, 7553, 7685, 7699, 7712
righteous            5550
righting             113
rightly              7344
ring                 7038, 7043
ringing              2863
rings                7037
rinsed               177
rise                 683, 5935
risen                6646
rises                6177
rising               3659, 6716
risk                 2561, 3596
river                870, 7198
road                 2616, 2947, 2964, 3872, 5482, 5647, 6854
roadside             2689
roast                2190
rock                 675, 676, 912, 914, 920, 966, 978, 1187, 3159
rocky                3302
role                 2664
rolled               6793
rolling              2050
roof                 406, 782, 987, 1632, 1640, 1654, 1660, 1663, 1677, 3189, 6823
room                 52, 136, 137, 145, 174, 180, 257, 267, 274, 401, 403, 406, 413, 416, 617, 636, 638, 639, 681, 685, 689, 729, 733, 764, 768, 776, 776, 787, 802, 807, 853, 872, 878, 880, 883, 895, 931, 944, 1043, 1103, 1140, 1166, 1174, 1199, 1276, 1293, 1295, 1319, 1320, 1323, 1330, 1332, 1337, 1362, 1451, 1515, 1610, 1618, 1637, 1663, 1671, 1874, 1877, 2063, 2255, 2265, 2469, 2480, 2487, 2487, 2488, 2494, 2539, 2549, 2567, 2583, 2603, 2652, 2658, 2753, 2785, 2791, 2855, 2875, 2962, 2999, 3017, 3194, 3247, 3251, 3505, 3803, 3861, 3920, 3972, 4029, 4032, 4067, 4085, 4125, 4285, 4576, 4579, 4589, 5112, 5130, 5531, 5653, 5660, 5797, 5830, 6097, 6127, 6296, 6316, 6395, 6409, 6572, 6658, 6707, 6787, 6827, 7017, 7197, 7253, 7285, 7390, 7402, 7411
rooms                2488, 2782, 3241, 3629, 5141, 5569, 6507, 6615
rose                 64, 248, 780, 929, 1209, 1230, 1319, 1524, 1677, 1933, 2413, 2527, 3772, 3959, 4110, 4118, 4201, 4508, 4785, 5007, 6097, 6542, 6738, 6829, 7267
rosebushes           1202
roses                644
rosy                 4075
round                671, 1516, 2123, 2179, 2334, 2339, 2928, 3971, 3971, 3976, 3976, 4023, 4595, 4689, 5049, 5239, 6120, 6127, 6140, 6153, 6234, 6234, 6920, 7285
roused               3546, 4311, 5495
route                5414
row                  1647, 2321
rows                 917
royalties            7495, 7640
royalty              7636, 7641, 7644
rubbed               827
rubies               7037
rude                 4275
rudeness             6784
rudiments            1425
rueful               1523, 3829
ruefully             1933
ruffle               1982
rugs                 642, 744, 777, 2515
rules                4481, 7495, 7502
run                  916, 1258, 1768, 1848, 3459, 4189, 4189, 5634, 7367
runnin               2797, 5679, 5907, 5909
running              3144, 3872
rush                 6681
rushed               5117
rushing              6694
rustle               3038
rustled              743
rut                  5519
rybody               6997, 7002, 7006
rywhere              6220, 6998
sacred               5344
sad                  3091, 3842, 4338, 4731, 6766, 6781, 6791
saddest              6729
sadly                3521, 5431, 5565, 6021
safe                 5647
